event_activity_id,hcp_id,event_id,campaign_id,drug_id,event_name,event_type,event_activity_type,activity_timestamp,registration_status,attendance_status,attendance_duration_minutes,questions_asked,poll_responses,device_type,source_system
EVTACT00007681,HCP1197,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 17:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00006475,HCP1006,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 17:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00012147,HCP1869,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 17:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00010341,HCP1605,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 17:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00001687,HCP0280,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 17:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00001042,HCP0180,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 17:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00001225,HCP0208,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 18:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00000493,HCP0086,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 18:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00003177,HCP0510,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 18:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00009726,HCP1514,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 18:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00009242,HCP1437,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 18:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00002784,HCP0443,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 18:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00012125,HCP1866,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 18:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00004858,HCP0764,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 18:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00004820,HCP0760,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-01 18:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00012276,HCP1891,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-02 08:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00008386,HCP1299,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-02 09:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00003088,HCP0495,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-02 09:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00010396,HCP1611,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 12:18:37.241379,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00002975,HCP0475,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-02 13:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00000648,HCP0110,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 13:18:37.241379,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00004838,HCP0763,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-02 14:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00011366,HCP1758,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-02 14:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00007142,HCP1111,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 14:18:37.241379,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00009349,HCP1451,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-02 15:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00012594,HCP1935,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 16:18:37.241379,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00000453,HCP0078,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 16:18:37.241379,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00003990,HCP0626,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 16:18:37.241379,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00007408,HCP1155,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 17:18:37.241379,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00006432,HCP0999,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 17:18:37.241379,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00008553,HCP1328,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 17:18:37.241379,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00012488,HCP1921,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-02 18:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00009272,HCP1441,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 18:18:37.241379,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00002589,HCP0414,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 19:18:37.241379,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00010003,HCP1553,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 21:18:37.241379,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00009569,HCP1487,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-02 21:18:37.241379,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00005534,HCP0861,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 08:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00009038,HCP1402,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 08:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00012230,HCP1884,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 09:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00005788,HCP0899,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 10:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00002646,HCP0422,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 11:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00001832,HCP0300,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 11:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00002894,HCP0460,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 11:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00000785,HCP0134,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 11:18:37.241379,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00003265,HCP0524,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 12:18:37.241379,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00008924,HCP1386,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 12:18:37.241379,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00003860,HCP0604,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 13:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00010482,HCP1625,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 13:18:37.241379,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00008713,HCP1354,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 14:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00001495,HCP0250,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 14:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00012180,HCP1874,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 14:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00012243,HCP1885,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 14:18:37.241379,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00006484,HCP1007,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 15:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00005956,HCP0927,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 15:18:37.241379,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00007024,HCP1091,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 15:18:37.241379,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00004350,HCP0686,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 16:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00006335,HCP0987,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 16:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00000039,HCP0008,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 16:18:37.241379,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00006746,HCP1048,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-03 17:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00001709,HCP0282,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 18:18:37.241379,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00009862,HCP1534,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 18:18:37.241379,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00004900,HCP0771,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 18:18:37.241379,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00004724,HCP0746,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 18:18:37.241379,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00004977,HCP0784,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 18:18:37.241379,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00004713,HCP0743,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 18:18:37.241379,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00004104,HCP0644,EVENT0002,CAMP0020,DRUG007,GastroEase Medical Education 02,Medical Education,registration,2026-01-03 19:18:37.241379,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00005716,HCP0889,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-04 09:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00012865,HCP1979,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-04 09:00:00.000000,Registered,Not Applicable,0,0,0,Desktop,Event_Platform
EVTACT00000195,HCP0036,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-04 10:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00007838,HCP1220,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-04 11:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
EVTACT00007677,HCP1196,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-04 12:00:00.000000,Registered,Not Applicable,0,0,0,Mobile,Event_Platform
EVTACT00005019,HCP0793,EVENT0001,CAMP0023,DRUG008,RenalGuard Expert Panel 01,Expert Panel,registration,2026-01-04 13:00:00.000000,Registered,Not Applicable,0,0,0,Tablet,Event_Platform
