hcp_id,total_event_activities,event_registrations,event_attendance,event_attendance_rate,avg_event_attendance_duration,max_event_attendance_duration,event_questions,event_polls,last_event_activity,last_event_engagement,days_since_last_event_engagement,days_since_last_event_activity
HCP0243,4,2,2,1.0000,30.0,41.0,3.0,4.0,2026-03-06T12:10:20.689Z,2026-03-06T12:10:20.689Z,163,163
HCP0251,5,3,2,0.6667,50.0,57.0,0.0,4.0,2026-07-18T07:22:45.517Z,2026-05-23T23:35:10.344Z,85,29
HCP0255,4,2,2,1.0000,49.0,56.0,0.0,4.0,2026-06-28T18:08:16.551Z,2026-06-28T18:08:16.551Z,49,49
HCP0256,5,3,2,0.6667,74.0,81.0,1.0,1.0,2026-06-20T13:49:39.310Z,2026-03-13T18:28:57.931Z,156,57
HCP0287,3,2,1,0.5000,82.0,82.0,3.0,0.0,2026-06-28T20:08:16.551Z,2026-06-28T20:08:16.551Z,49,49
HCP0318,17,9,8,0.8889,44.25,56.0,8.0,20.0,2026-06-27T23:26:53.793Z,2026-05-31T06:53:47.586Z,77,50
HCP0343,5,3,2,0.6667,65.0,91.0,0.0,4.0,2026-06-14T07:31:02.068Z,2026-06-14T07:31:02.068Z,63,63
HCP0352,3,2,1,0.5000,37.0,37.0,0.0,0.0,2026-08-10T12:00:00.000Z,2026-08-10T12:00:00.000Z,6,6
HCP0359,8,4,4,1.0000,56.75,97.0,6.0,7.0,2026-06-07T09:12:24.827Z,2026-06-07T09:12:24.827Z,70,70
HCP0403,6,3,3,1.0000,44.67,47.0,3.0,0.0,2026-07-13T01:45:31.034Z,2026-07-13T01:45:31.034Z,34,34
HCP0449,18,9,9,1.0000,63.33,111.0,6.0,12.0,2026-08-10T09:00:00.000Z,2026-08-10T09:00:00.000Z,6,6
HCP0452,5,3,2,0.6667,44.5,46.0,1.0,3.0,2026-06-23T19:45:31.034Z,2026-05-31T00:53:47.586Z,77,54
HCP0457,6,4,2,0.5000,70.5,90.0,0.0,3.0,2026-07-20T06:04:08.275Z,2026-07-20T06:04:08.275Z,27,27
HCP0470,5,3,2,0.6667,53.0,68.0,1.0,2.0,2026-03-27T21:24:49.655Z,2026-03-20T17:47:35.172Z,149,142
HCP0479,7,4,3,0.7500,62.0,71.0,3.0,5.0,2026-07-27T02:22:45.517Z,2026-07-27T02:22:45.517Z,20,20
HCP0480,2,2,0,0.0000,0.0,0.0,0.0,0.0,2026-06-28T23:45:31.034Z,null,null,49
HCP0489,1,1,0,0.0000,0.0,0.0,0.0,0.0,2026-01-05T19:18:37.241Z,null,null,223
HCP0496,5,3,2,0.6667,49.0,73.0,0.0,3.0,2026-06-18T22:08:16.551Z,2026-06-07T05:12:24.827Z,70,59
HCP0510,7,5,2,0.4000,44.5,63.0,0.0,6.0,2026-07-20T09:41:22.758Z,2026-04-18T06:02:04.137Z,120,27
HCP0516,12,6,6,1.0000,56.17,89.0,5.0,11.0,2026-05-09T16:57:55.862Z,2026-05-09T16:57:55.862Z,99,99
HCP0518,4,2,2,1.0000,37.0,40.0,2.0,4.0,2026-07-27T02:22:45.517Z,2026-07-27T02:22:45.517Z,20,20
HCP0524,6,4,2,0.5000,64.5,71.0,0.0,2.0,2026-08-03T11:41:22.758Z,2026-08-03T11:41:22.758Z,13,13
HCP0533,7,4,3,0.7500,64.0,99.0,2.0,6.0,2026-07-05T19:26:53.793Z,2026-07-05T19:26:53.793Z,42,42
HCP0537,12,6,6,1.0000,46.67,67.0,0.0,6.0,2026-06-21T14:49:39.310Z,2026-06-21T14:49:39.310Z,56,56
HCP0554,1,1,0,0.0000,0.0,0.0,0.0,0.0,2026-05-06T19:16:33.103Z,null,null,102
HCP0569,7,4,3,0.7500,37.0,45.0,5.0,6.0,2026-07-12T23:45:31.034Z,2026-07-12T23:45:31.034Z,35,35
HCP0602,5,3,2,0.6667,67.0,110.0,3.0,4.0,2026-06-07T08:12:24.827Z,2026-06-07T08:12:24.827Z,70,70
HCP0608,7,4,3,0.7500,54.0,75.0,0.0,2.0,2026-06-28T19:08:16.551Z,2026-06-28T19:08:16.551Z,49,49
HCP0613,2,1,1,1.0000,61.0,61.0,3.0,0.0,2026-06-07T04:12:24.827Z,2026-06-07T04:12:24.827Z,70,70
HCP0630,4,3,1,0.3333,33.0,33.0,1.0,0.0,2026-05-04T02:35:10.344Z,2026-04-03T21:24:49.655Z,135,104
HCP0644,14,8,6,0.7500,51.83,97.0,5.0,11.0,2026-07-13T00:45:31.034Z,2026-07-13T00:45:31.034Z,34,34
HCP0675,8,6,2,0.3333,31.0,39.0,3.0,0.0,2026-08-10T09:00:00.000Z,2026-08-10T09:00:00.000Z,6,6
HCP0681,7,5,2,0.4000,57.5,67.0,0.0,0.0,2026-06-19T15:26:53.793Z,2026-06-07T07:12:24.827Z,70,58
HCP0685,2,1,1,1.0000,78.0,78.0,0.0,0.0,2026-04-25T09:20:41.379Z,2026-04-25T09:20:41.379Z,113,113
HCP0731,12,7,5,0.7143,46.4,67.0,3.0,4.0,2026-08-03T09:41:22.758Z,2026-08-03T09:41:22.758Z,13,13
HCP0759,6,4,2,0.5000,61.5,89.0,0.0,0.0,2026-07-13T01:45:31.034Z,2026-07-13T01:45:31.034Z,34,34
HCP0777,8,4,4,1.0000,64.5,85.0,3.0,5.0,2026-07-05T17:26:53.793Z,2026-07-05T17:26:53.793Z,42,42
HCP0792,7,4,3,0.7500,56.33,77.0,0.0,3.0,2026-06-28T20:26:53.793Z,2026-05-09T20:57:55.862Z,99,49
HCP0802,5,3,2,0.6667,44.0,58.0,2.0,3.0,2026-07-12T22:45:31.034Z,2026-07-12T22:45:31.034Z,35,35
HCP0806,4,2,2,1.0000,78.0,108.0,3.0,2.0,2026-08-03T08:41:22.758Z,2026-08-03T08:41:22.758Z,13,13
HCP0808,7,4,3,0.7500,33.0,43.0,4.0,6.0,2026-07-26T05:41:22.758Z,2026-05-31T01:53:47.586Z,77,21
HCP0822,6,4,2,0.5000,67.0,82.0,0.0,3.0,2026-07-16T04:04:08.275Z,2026-02-20T02:33:06.206Z,177,31
HCP0831,14,7,7,1.0000,41.43,55.0,11.0,7.0,2026-06-14T06:31:02.068Z,2026-06-14T06:31:02.068Z,63,63
HCP0853,8,5,3,0.6000,50.33,75.0,2.0,6.0,2026-04-25T10:20:41.379Z,2026-04-25T10:20:41.379Z,113,113
HCP0859,12,7,5,0.7143,55.2,102.0,2.0,2.0,2026-08-10T16:00:00.000Z,2026-08-10T16:00:00.000Z,6,6
HCP0897,3,2,1,0.5000,34.0,34.0,0.0,0.0,2026-06-04T04:12:24.827Z,2026-05-16T23:16:33.103Z,92,73
HCP0912,5,3,2,0.6667,34.0,49.0,6.0,2.0,2026-07-12T21:45:31.034Z,2026-07-12T21:45:31.034Z,35,35
HCP0926,7,4,3,0.7500,61.67,109.0,2.0,5.0,2026-06-07T07:12:24.827Z,2026-06-07T07:12:24.827Z,70,70
HCP0933,9,5,4,0.8000,45.0,52.0,0.0,3.0,2026-08-03T06:41:22.758Z,2026-08-03T06:41:22.758Z,13,13
HCP0937,9,5,4,0.8000,70.0,93.0,4.0,1.0,2026-08-10T14:00:00.000Z,2026-08-10T14:00:00.000Z,6,6
HCP0938,2,1,1,1.0000,49.0,49.0,0.0,1.0,2026-05-16T18:16:33.103Z,2026-05-16T18:16:33.103Z,92,92
HCP0949,3,2,1,0.5000,32.0,32.0,0.0,0.0,2026-07-27T08:22:45.517Z,2026-07-27T08:22:45.517Z,20,20
HCP0975,7,4,3,0.7500,47.33,65.0,0.0,0.0,2026-07-16T08:04:08.275Z,2026-05-31T05:53:47.586Z,77,31
HCP1008,9,5,4,0.8000,64.75,79.0,5.0,14.0,2026-07-20T02:04:08.275Z,2026-07-20T02:04:08.275Z,27,27
HCP1034,3,2,1,0.5000,25.0,25.0,0.0,0.0,2026-05-18T09:12:24.827Z,2026-04-03T23:24:49.655Z,135,90
HCP1058,2,1,1,1.0000,54.0,54.0,0.0,0.0,2026-04-18T04:02:04.137Z,2026-04-18T04:02:04.137Z,120,120
HCP1079,8,5,3,0.6000,52.0,67.0,0.0,3.0,2026-07-11T04:45:31.034Z,2026-06-28T15:08:16.551Z,49,36
HCP1133,8,5,3,0.6000,28.0,38.0,0.0,1.0,2026-08-10T11:00:00.000Z,2026-08-10T11:00:00.000Z,6,6
HCP1135,8,5,3,0.6000,53.67,60.0,1.0,3.0,2026-06-28T18:08:16.551Z,2026-06-28T18:08:16.551Z,49,49
HCP1142,12,6,6,1.0000,56.33,79.0,2.0,6.0,2026-08-03T12:41:22.758Z,2026-08-03T12:41:22.758Z,13,13
HCP1155,6,3,3,1.0000,48.0,76.0,3.0,6.0,2026-07-27T07:22:45.517Z,2026-07-27T07:22:45.517Z,20,20
HCP1161,9,5,4,0.8000,63.5,99.0,0.0,5.0,2026-08-03T09:41:22.758Z,2026-08-03T09:41:22.758Z,13,13
HCP1166,6,4,2,0.5000,46.5,62.0,0.0,3.0,2026-07-26T06:41:22.758Z,2026-05-24T00:35:10.344Z,84,21
HCP1187,5,3,2,0.6667,61.5,93.0,0.0,2.0,2026-05-09T18:57:55.862Z,2026-05-09T18:57:55.862Z,99,99
HCP1190,7,4,3,0.7500,63.0,87.0,3.0,4.0,2026-07-25T11:41:22.758Z,2026-06-14T10:31:02.068Z,63,22
HCP1207,8,5,3,0.6000,35.0,49.0,0.0,0.0,2026-08-07T18:00:00.000Z,2026-05-09T19:57:55.862Z,99,9
HCP1230,2,2,0,0.0000,0.0,0.0,0.0,0.0,2026-06-08T15:31:02.068Z,null,null,69
HCP1232,13,7,6,0.8571,54.5,108.0,0.0,13.0,2026-08-10T11:00:00.000Z,2026-08-10T11:00:00.000Z,6,6
HCP1236,13,7,6,0.8571,34.5,46.0,1.0,4.0,2026-07-27T09:22:45.517Z,2026-07-27T09:22:45.517Z,20,20
HCP1241,2,2,0,0.0000,0.0,0.0,0.0,0.0,2026-05-07T03:35:10.344Z,null,null,101
HCP1306,11,6,5,0.8333,55.8,93.0,4.0,0.0,2026-06-28T18:08:16.551Z,2026-06-28T18:08:16.551Z,49,49
HCP1337,11,6,5,0.8333,56.8,83.0,8.0,8.0,2026-06-14T09:31:02.068Z,2026-06-14T09:31:02.068Z,63,63
HCP1340,3,2,1,0.5000,27.0,27.0,0.0,0.0,2026-06-14T08:31:02.068Z,2026-06-14T08:31:02.068Z,63,63
HCP1353,14,8,6,0.7500,62.33,107.0,3.0,1.0,2026-08-03T08:41:22.758Z,2026-08-03T08:41:22.758Z,13,13
HCP1359,10,6,4,0.6667,56.5,70.0,3.0,4.0,2026-07-27T05:22:45.517Z,2026-07-27T05:22:45.517Z,20,20
HCP1368,8,4,4,1.0000,46.0,61.0,1.0,7.0,2026-06-21T10:49:39.310Z,2026-06-21T10:49:39.310Z,56,56
HCP1390,3,2,1,0.5000,26.0,26.0,0.0,0.0,2026-06-06T10:31:02.068Z,2026-05-02T12:39:18.620Z,106,71
HCP1403,8,5,3,0.6000,52.33,58.0,0.0,6.0,2026-08-10T12:00:00.000Z,2026-08-10T12:00:00.000Z,6,6
HCP1429,5,3,2,0.6667,29.5,37.0,1.0,2.0,2026-08-10T10:00:00.000Z,2026-08-10T10:00:00.000Z,6,6
HCP1433,4,2,2,1.0000,74.0,81.0,0.0,1.0,2026-06-07T03:12:24.827Z,2026-06-07T03:12:24.827Z,70,70
HCP1438,8,5,3,0.6000,47.0,51.0,0.0,4.0,2026-06-28T16:08:16.551Z,2026-06-28T16:08:16.551Z,49,49
HCP1452,4,2,2,1.0000,30.5,31.0,3.0,1.0,2026-05-02T11:39:18.620Z,2026-05-02T11:39:18.620Z,106,106
HCP1468,13,7,6,0.8571,54.83,89.0,6.0,5.0,2026-08-10T16:00:00.000Z,2026-08-10T16:00:00.000Z,6,6
HCP1479,6,4,2,0.5000,26.5,28.0,0.0,0.0,2026-07-30T13:00:00.000Z,2026-05-02T16:39:18.620Z,106,17
HCP1501,2,1,1,1.0000,24.0,24.0,0.0,0.0,2026-05-02T13:39:18.620Z,2026-05-02T13:39:18.620Z,106,106
HCP1519,9,5,4,0.8000,50.75,56.0,3.0,5.0,2026-08-10T13:00:00.000Z,2026-08-10T13:00:00.000Z,6,6
HCP1531,7,5,2,0.4000,66.0,83.0,1.0,4.0,2026-04-30T19:39:18.620Z,2026-02-27T04:51:43.448Z,170,108
HCP1548,7,4,3,0.7500,53.0,86.0,3.0,5.0,2026-06-28T19:08:16.551Z,2026-06-28T19:08:16.551Z,49,49
HCP1553,10,5,5,1.0000,55.6,94.0,5.0,4.0,2026-05-24T03:35:10.344Z,2026-05-24T03:35:10.344Z,84,84
HCP1556,6,4,2,0.5000,39.0,45.0,0.0,0.0,2026-06-21T13:08:16.551Z,2026-03-20T20:47:35.172Z,149,56
HCP1569,16,9,7,0.7778,52.43,79.0,3.0,10.0,2026-08-10T15:00:00.000Z,2026-08-10T15:00:00.000Z,6,6
HCP1575,7,4,3,0.7500,50.0,62.0,0.0,3.0,2026-08-10T16:00:00.000Z,2026-08-10T16:00:00.000Z,6,6
HCP1579,5,3,2,0.6667,37.5,42.0,2.0,0.0,2026-04-18T16:20:41.379Z,2026-02-27T06:51:43.448Z,170,120
HCP1584,7,5,2,0.4000,55.0,58.0,0.0,4.0,2026-06-07T04:12:24.827Z,2026-06-07T04:12:24.827Z,70,70
HCP1599,7,4,3,0.7500,46.33,53.0,3.0,4.0,2026-08-10T13:00:00.000Z,2026-08-10T13:00:00.000Z,6,6
HCP1602,3,2,1,0.5000,41.0,41.0,0.0,0.0,2026-06-01T11:49:39.310Z,2026-01-22T12:18:37.241Z,206,76
HCP1615,5,4,1,0.2500,34.0,34.0,0.0,2.0,2026-06-05T12:31:02.068Z,2026-02-13T03:14:28.965Z,184,72
HCP1634,3,2,1,0.5000,51.0,51.0,1.0,0.0,2026-04-03T21:24:49.655Z,2026-04-03T21:24:49.655Z,135,135
HCP1642,6,3,3,1.0000,47.0,60.0,6.0,1.0,2026-05-23T22:35:10.344Z,2026-05-23T22:35:10.344Z,85,85
HCP1650,6,3,3,1.0000,47.0,54.0,3.0,7.0,2026-06-21T10:49:39.310Z,2026-06-21T10:49:39.310Z,56,56
HCP1664,9,5,4,0.8000,53.25,86.0,0.0,2.0,2026-08-10T12:00:00.000Z,2026-08-10T12:00:00.000Z,6,6
HCP1680,8,4,4,1.0000,61.0,69.0,7.0,8.0,2026-06-21T13:49:39.310Z,2026-06-21T13:49:39.310Z,56,56
HCP1682,8,5,3,0.6000,68.67,94.0,0.0,5.0,2026-07-20T04:04:08.275Z,2026-07-20T04:04:08.275Z,27,27
HCP1690,1,1,0,0.0000,0.0,0.0,0.0,0.0,2026-04-12T13:39:18.620Z,null,null,126
HCP1734,4,2,2,1.0000,38.5,49.0,0.0,0.0,2026-05-02T11:39:18.620Z,2026-05-02T11:39:18.620Z,106,106
HCP1740,6,4,2,0.5000,62.5,78.0,2.0,4.0,2026-08-03T10:41:22.758Z,2026-08-03T10:41:22.758Z,13,13
HCP1786,3,2,1,0.5000,34.0,34.0,0.0,0.0,2026-06-21T09:49:39.310Z,2026-06-21T09:49:39.310Z,56,56
HCP1799,5,4,1,0.2500,65.0,65.0,0.0,1.0,2026-08-08T14:00:00.000Z,2026-03-20T19:47:35.172Z,149,8
HCP1828,10,6,4,0.6667,63.0,113.0,3.0,4.0,2026-06-21T11:49:39.310Z,2026-06-21T11:49:39.310Z,56,56
HCP1859,6,4,2,0.5000,42.5,61.0,3.0,1.0,2026-07-27T09:22:45.517Z,2026-07-27T09:22:45.517Z,20,20
HCP1879,11,6,5,0.8333,56.2,79.0,4.0,4.0,2026-08-03T07:41:22.758Z,2026-08-03T07:41:22.758Z,13,13
HCP1893,10,5,5,1.0000,60.0,88.0,8.0,10.0,2026-08-03T12:41:22.758Z,2026-08-03T12:41:22.758Z,13,13
HCP1908,4,4,0,0.0000,0.0,0.0,0.0,0.0,2026-08-08T13:00:00.000Z,null,null,8
HCP1965,11,6,5,0.8333,52.6,76.0,4.0,3.0,2026-07-23T10:41:22.758Z,2026-05-24T02:35:10.344Z,84,24
HCP1977,11,6,5,0.8333,46.2,76.0,3.0,9.0,2026-07-05T20:26:53.793Z,2026-07-05T20:26:53.793Z,42,42
HCP1978,7,4,3,0.7500,54.33,82.0,1.0,6.0,2026-06-07T05:12:24.827Z,2026-06-07T05:12:24.827Z,70,70
HCP1982,4,3,1,0.3333,114.0,114.0,0.0,0.0,2026-08-03T10:41:22.758Z,2026-08-03T10:41:22.758Z,13,13
HCP0001,4,2,2,1.0000,31.5,43.0,1.0,2.0,2026-06-28T19:08:16.551Z,2026-06-28T19:08:16.551Z,49,49
HCP0027,3,2,1,0.5000,45.0,45.0,0.0,0.0,2026-06-28T20:08:16.551Z,2026-06-28T20:08:16.551Z,49,49
HCP0041,3,2,1,0.5000,69.0,69.0,3.0,0.0,2026-04-25T12:20:41.379Z,2026-04-25T12:20:41.379Z,113,113
HCP0061,6,4,2,0.5000,61.5,75.0,2.0,0.0,2026-07-20T02:04:08.275Z,2026-07-20T02:04:08.275Z,27,27
HCP0098,4,2,2,1.0000,36.0,37.0,2.0,5.0,2026-05-09T17:57:55.862Z,2026-05-09T17:57:55.862Z,99,99
HCP0106,5,3,2,0.6667,68.5,91.0,0.0,4.0,2026-07-27T04:41:22.758Z,2026-05-24T03:35:10.344Z,84,20
HCP0110,10,6,4,0.6667,44.0,66.0,2.0,2.0,2026-07-28T05:41:22.758Z,2026-06-14T13:31:02.068Z,63,19
HCP0117,6,3,3,1.0000,41.0,51.0,1.0,0.0,2026-05-16T23:16:33.103Z,2026-05-16T23:16:33.103Z,92,92
HCP0141,4,2,2,1.0000,27.0,35.0,0.0,4.0,2026-05-02T14:39:18.620Z,2026-05-02T14:39:18.620Z,106,106
HCP0152,5,3,2,0.6667,65.5,111.0,0.0,8.0,2026-08-03T08:41:22.758Z,2026-08-03T08:41:22.758Z,13,13
HCP0156,8,6,2,0.3333,60.0,73.0,1.0,0.0,2026-07-15T05:41:22.758Z,2026-05-09T14:57:55.862Z,99,32
HCP0168,9,6,3,0.5000,47.33,69.0,2.0,8.0,2026-07-27T07:22:45.517Z,2026-07-27T07:22:45.517Z,20,20
HCP0188,13,7,6,0.8571,49.67,77.0,5.0,6.0,2026-06-14T08:31:02.068Z,2026-06-14T08:31:02.068Z,63,63
HCP0194,5,4,1,0.2500,47.0,47.0,2.0,0.0,2026-05-16T23:16:33.103Z,2026-05-16T23:16:33.103Z,92,92
HCP0200,7,4,3,0.7500,51.67,68.0,5.0,0.0,2026-07-20T03:04:08.275Z,2026-07-20T03:04:08.275Z,27,27
HCP0223,6,3,3,1.0000,43.67,44.0,3.0,3.0,2026-05-09T17:57:55.862Z,2026-05-09T17:57:55.862Z,99,99
HCP0233,11,6,5,0.8333,45.6,70.0,10.0,3.0,2026-06-28T13:08:16.551Z,2026-06-28T13:08:16.551Z,49,49
HCP0236,3,2,1,0.5000,27.0,27.0,0.0,1.0,2026-07-23T13:41:22.758Z,2026-02-20T06:33:06.206Z,177,24
HCP0258,8,5,3,0.6000,42.67,48.0,0.0,0.0,2026-07-27T06:22:45.517Z,2026-07-27T06:22:45.517Z,20,20
HCP0284,3,2,1,0.5000,53.0,53.0,3.0,2.0,2026-08-03T12:41:22.758Z,2026-08-03T12:41:22.758Z,13,13
HCP0297,8,4,4,1.0000,43.0,55.0,3.0,4.0,2026-05-16T21:16:33.103Z,2026-05-16T21:16:33.103Z,92,92
HCP0334,8,5,3,0.6000,48.0,61.0,3.0,6.0,2026-07-12T20:45:31.034Z,2026-07-12T20:45:31.034Z,35,35
HCP0342,7,4,3,0.7500,49.33,60.0,4.0,2.0,2026-08-06T09:00:00.000Z,2026-07-05T17:26:53.793Z,42,10
HCP0362,4,2,2,1.0000,44.0,51.0,2.0,3.0,2026-06-28T14:08:16.551Z,2026-06-28T14:08:16.551Z,49,49
HCP0373,8,4,4,1.0000,41.5,50.0,0.0,2.0,2026-07-27T03:22:45.517Z,2026-07-27T03:22:45.517Z,20,20
HCP0382,3,2,1,0.5000,39.0,39.0,0.0,0.0,2026-04-13T13:20:41.379Z,2026-01-22T17:18:37.241Z,206,125
HCP0401,6,3,3,1.0000,65.67,112.0,0.0,0.0,2026-08-03T06:41:22.758Z,2026-08-03T06:41:22.758Z,13,13
HCP0407,6,4,2,0.5000,46.5,48.0,3.0,5.0,2026-07-27T07:22:45.517Z,2026-07-27T07:22:45.517Z,20,20
HCP0409,7,4,3,0.7500,41.33,59.0,2.0,2.0,2026-06-19T16:08:16.551Z,2026-05-16T21:16:33.103Z,92,58
HCP0471,4,2,2,1.0000,34.0,39.0,1.0,0.0,2026-06-14T09:31:02.068Z,2026-06-14T09:31:02.068Z,63,63
HCP0499,8,5,3,0.6000,65.0,90.0,3.0,0.0,2026-07-05T23:26:53.793Z,2026-07-05T23:26:53.793Z,42,42
HCP0556,2,1,1,1.0000,31.0,31.0,0.0,2.0,2026-05-02T16:39:18.620Z,2026-05-02T16:39:18.620Z,106,106
HCP0561,2,1,1,1.0000,47.0,47.0,0.0,2.0,2026-06-21T14:49:39.310Z,2026-06-21T14:49:39.310Z,56,56
HCP0575,3,2,1,0.5000,61.0,61.0,0.0,2.0,2026-03-13T11:28:57.931Z,2026-03-13T11:28:57.931Z,156,156
HCP0597,5,3,2,0.6667,34.5,41.0,3.0,0.0,2026-08-01T11:41:22.758Z,2026-05-09T19:57:55.862Z,99,15
HCP0609,10,5,5,1.0000,45.2,66.0,4.0,7.0,2026-07-12T23:45:31.034Z,2026-07-12T23:45:31.034Z,35,35
HCP0620,4,2,2,1.0000,33.0,38.0,0.0,0.0,2026-03-27T22:06:12.413Z,2026-03-27T22:06:12.413Z,142,142
HCP0624,2,1,1,1.0000,44.0,44.0,1.0,2.0,2026-05-02T14:39:18.620Z,2026-05-02T14:39:18.620Z,106,106
HCP0633,11,6,5,0.8333,67.2,108.0,0.0,1.0,2026-07-20T00:04:08.275Z,2026-07-20T00:04:08.275Z,27,27
HCP0635,9,5,4,0.8000,65.25,96.0,7.0,8.0,2026-07-27T09:22:45.517Z,2026-07-27T09:22:45.517Z,20,20
HCP0637,1,1,0,0.0000,0.0,0.0,0.0,0.0,2026-01-20T13:18:37.241Z,null,null,208
HCP0655,5,3,2,0.6667,43.0,51.0,0.0,0.0,2026-05-16T21:16:33.103Z,2026-05-16T21:16:33.103Z,92,92
HCP0677,3,2,1,0.5000,28.0,28.0,0.0,0.0,2026-05-31T03:53:47.586Z,2026-05-31T03:53:47.586Z,77,77
HCP0683,13,8,5,0.6250,71.4,107.0,3.0,5.0,2026-08-03T09:00:00.000Z,2026-08-03T08:41:22.758Z,13,13
HCP0722,1,1,0,0.0000,0.0,0.0,0.0,0.0,2026-01-16T21:37:14.482Z,null,null,212
HCP0745,3,2,1,0.5000,80.0,80.0,0.0,0.0,2026-03-13T14:28:57.931Z,2026-03-13T14:28:57.931Z,156,156
HCP0749,4,2,2,1.0000,46.0,70.0,1.0,0.0,2026-04-25T07:20:41.379Z,2026-04-25T07:20:41.379Z,113,113
HCP0788,8,4,4,1.0000,31.75,38.0,5.0,12.0,2026-08-10T15:00:00.000Z,2026-08-10T15:00:00.000Z,6,6
HCP0810,4,2,2,1.0000,48.5,49.0,1.0,4.0,2026-04-25T13:20:41.379Z,2026-04-25T13:20:41.379Z,113,113
HCP0814,9,5,4,0.8000,44.75,64.0,6.0,10.0,2026-07-02T03:04:08.275Z,2026-06-21T09:49:39.310Z,56,45
HCP0817,6,3,3,1.0000,50.67,79.0,0.0,0.0,2026-05-30T23:53:47.586Z,2026-05-30T23:53:47.586Z,78,78
HCP0833,6,3,3,1.0000,72.33,94.0,0.0,3.0,2026-07-05T19:26:53.793Z,2026-07-05T19:26:53.793Z,42,42
HCP0839,9,5,4,0.8000,52.75,68.0,3.0,2.0,2026-06-07T03:12:24.827Z,2026-06-07T03:12:24.827Z,70,70
HCP0845,11,6,5,0.8333,61.0,86.0,1.0,0.0,2026-05-31T03:53:47.586Z,2026-05-31T03:53:47.586Z,77,77
HCP0852,10,5,5,1.0000,56.2,83.0,7.0,4.0,2026-07-05T17:26:53.793Z,2026-07-05T17:26:53.793Z,42,42
HCP0907,4,2,2,1.0000,27.0,29.0,6.0,3.0,2026-04-04T03:24:49.655Z,2026-04-04T03:24:49.655Z,134,134
HCP0917,10,5,5,1.0000,31.4,47.0,4.0,8.0,2026-06-07T08:12:24.827Z,2026-06-07T08:12:24.827Z,70,70
HCP0918,4,2,2,1.0000,84.5,105.0,2.0,2.0,2026-07-27T07:22:45.517Z,2026-07-27T07:22:45.517Z,20,20
HCP0947,8,6,2,0.3333,68.5,114.0,0.0,0.0,2026-06-25T23:26:53.793Z,2026-06-07T06:12:24.827Z,70,52
HCP0961,3,2,1,0.5000,25.0,25.0,3.0,0.0,2026-05-16T23:16:33.103Z,2026-05-16T23:16:33.103Z,92,92
HCP0980,4,2,2,1.0000,65.5,79.0,3.0,3.0,2026-08-03T09:41:22.758Z,2026-08-03T09:41:22.758Z,13,13
HCP0982,4,2,2,1.0000,56.0,73.0,0.0,0.0,2026-07-20T02:04:08.275Z,2026-07-20T02:04:08.275Z,27,27
HCP0995,9,5,4,0.8000,63.75,72.0,0.0,9.0,2026-07-27T06:22:45.517Z,2026-07-27T06:22:45.517Z,20,20
HCP1029,5,3,2,0.6667,60.0,72.0,0.0,0.0,2026-07-27T07:22:45.517Z,2026-07-27T07:22:45.517Z,20,20
