hcp_id,total_veeva_interactions,in_person_visits,phone_calls,virtual_meetings,completed_interactions,cancelled_interactions,no_show_interactions,avg_interaction_duration_minutes,max_interaction_duration_minutes,followups_required,last_veeva_activity,last_veeva_engagement,days_since_last_veeva_engagement,days_since_last_veeva_activity
HCP0470,8,3,3,2,8,0,0,24.5,45.0,3,2026-06-26T04:11:42.000Z,2026-06-26T04:11:42.000Z,51,51
HCP0479,10,7,2,1,8,2,0,39.6,57.0,4,2026-08-05T04:46:34.000Z,2026-08-05T04:46:34.000Z,11,11
HCP0480,7,2,3,2,6,1,0,26.0,60.0,1,2026-05-28T22:17:40.000Z,2026-05-28T22:17:40.000Z,80,80
HCP0489,3,3,0,0,2,0,1,44.0,52.0,1,2026-06-02T11:08:53.000Z,2026-03-03T20:20:18.000Z,166,75
HCP0496,10,6,2,2,10,0,0,34.2,58.0,5,2026-08-06T15:53:33.000Z,2026-08-06T15:53:33.000Z,10,10
HCP0510,6,1,4,1,6,0,0,23.33,57.0,2,2026-05-27T04:32:06.000Z,2026-05-27T04:32:06.000Z,81,81
HCP0516,11,5,4,2,10,0,1,29.82,57.0,3,2026-06-29T11:31:29.000Z,2026-06-29T11:31:29.000Z,48,48
HCP0518,5,4,1,0,4,0,1,38.6,59.0,1,2026-06-24T08:18:46.000Z,2026-06-24T08:18:46.000Z,53,53
HCP0524,9,3,3,3,6,2,1,23.11,53.0,4,2026-08-09T03:30:14.000Z,2026-08-09T03:30:14.000Z,7,7
HCP0533,6,4,2,0,5,1,0,26.17,48.0,2,2026-08-13T12:06:56.000Z,2026-06-16T13:03:49.000Z,61,3
HCP0537,10,6,2,2,10,0,0,32.3,53.0,2,2026-07-23T17:53:20.000Z,2026-07-23T17:53:20.000Z,24,24
HCP0554,6,1,3,2,5,1,0,21.83,44.0,2,2026-08-10T03:18:15.000Z,2026-08-10T03:18:15.000Z,6,6
HCP0569,10,6,4,0,10,0,0,28.2,57.0,5,2026-08-02T03:47:28.000Z,2026-08-02T03:47:28.000Z,14,14
HCP0602,8,4,4,0,8,0,0,28.25,52.0,2,2026-06-08T19:05:58.000Z,2026-06-08T19:05:58.000Z,69,69
HCP0608,3,0,2,1,3,0,0,18.0,28.0,1,2026-07-16T22:23:13.000Z,2026-07-16T22:23:13.000Z,31,31
HCP0613,9,3,1,5,8,0,1,33.56,55.0,5,2026-07-08T20:42:01.000Z,2026-07-08T20:42:01.000Z,39,39
HCP0630,5,1,0,4,3,2,0,32.2,44.0,0,2026-06-28T02:42:56.000Z,2026-06-28T02:42:56.000Z,49,49
HCP0644,3,1,0,2,3,0,0,35.33,59.0,2,2026-05-31T23:46:10.000Z,2026-05-31T23:46:10.000Z,77,77
HCP0675,6,2,3,1,5,1,0,25.67,56.0,2,2026-07-25T01:41:51.000Z,2026-07-25T01:41:51.000Z,22,22
HCP0681,7,4,2,1,6,1,0,27.14,45.0,3,2026-08-04T10:18:17.000Z,2026-08-04T10:18:17.000Z,12,12
HCP0685,5,1,3,1,5,0,0,24.6,57.0,2,2026-07-06T18:29:47.000Z,2026-07-06T18:29:47.000Z,41,41
HCP0731,8,2,6,0,7,1,0,20.88,59.0,3,2026-06-24T05:31:16.000Z,2026-06-24T05:31:16.000Z,53,53
HCP0759,5,3,2,0,4,0,1,34.8,60.0,3,2026-07-24T23:52:00.000Z,2026-07-24T23:52:00.000Z,23,23
HCP0777,7,5,1,1,5,1,1,41.14,54.0,2,2026-07-10T13:35:05.000Z,2026-07-10T13:35:05.000Z,37,37
HCP0792,9,2,4,3,9,0,0,22.44,39.0,3,2026-06-05T06:47:33.000Z,2026-06-05T06:47:33.000Z,72,72
HCP0802,11,3,5,3,8,3,0,23.73,55.0,1,2026-07-27T23:22:56.000Z,2026-07-27T23:22:56.000Z,20,20
HCP0806,7,6,0,1,6,1,0,37.29,44.0,3,2026-06-22T20:13:01.000Z,2026-06-22T20:13:01.000Z,55,55
HCP0808,5,3,1,1,5,0,0,40.8,56.0,2,2026-07-11T07:56:58.000Z,2026-07-11T07:56:58.000Z,36,36
HCP0822,5,1,2,2,5,0,0,20.8,38.0,2,2026-05-31T18:43:33.000Z,2026-05-31T18:43:33.000Z,77,77
HCP0831,6,3,3,0,5,0,1,29.0,59.0,2,2026-08-05T11:45:49.000Z,2026-08-05T11:45:49.000Z,11,11
HCP0853,5,0,3,2,5,0,0,24.0,42.0,3,2026-07-21T19:17:46.000Z,2026-07-21T19:17:46.000Z,26,26
HCP0859,9,7,1,1,9,0,0,36.11,47.0,1,2026-07-14T12:12:31.000Z,2026-07-14T12:12:31.000Z,33,33
HCP0897,10,5,4,1,9,1,0,27.1,58.0,2,2026-07-04T22:29:50.000Z,2026-07-04T22:29:50.000Z,43,43
HCP0912,8,3,2,3,8,0,0,27.13,56.0,5,2026-08-13T04:41:37.000Z,2026-08-13T04:41:37.000Z,3,3
HCP0926,5,3,0,2,4,1,0,39.8,55.0,2,2026-08-08T08:08:34.000Z,2026-08-08T08:08:34.000Z,8,8
HCP0933,3,0,1,2,3,0,0,30.33,40.0,0,2026-06-29T23:11:50.000Z,2026-06-29T23:11:50.000Z,48,48
HCP0937,10,4,3,3,8,1,1,32.1,54.0,3,2026-07-24T01:37:56.000Z,2026-07-24T01:37:56.000Z,23,23
HCP0938,3,1,1,1,3,0,0,27.33,43.0,1,2026-07-19T00:32:07.000Z,2026-07-19T00:32:07.000Z,28,28
HCP0949,3,1,1,1,2,0,1,25.67,41.0,1,2026-05-25T19:07:50.000Z,2026-03-19T14:38:45.000Z,150,83
HCP0975,4,2,1,1,4,0,0,34.75,57.0,1,2026-08-10T08:57:59.000Z,2026-08-10T08:57:59.000Z,6,6
HCP1008,4,3,0,1,3,1,0,42.75,58.0,1,2026-07-09T05:11:29.000Z,2026-06-05T12:33:22.000Z,72,38
HCP1034,5,3,1,1,5,0,0,40.4,54.0,2,2026-07-20T08:44:12.000Z,2026-07-20T08:44:12.000Z,27,27
HCP1058,3,1,2,0,2,1,0,27.67,46.0,1,2026-08-01T12:46:53.000Z,2026-08-01T12:46:53.000Z,15,15
HCP1079,8,5,2,1,8,0,0,31.38,44.0,4,2026-05-10T22:23:58.000Z,2026-05-10T22:23:58.000Z,98,98
HCP1133,3,1,2,0,3,0,0,29.33,55.0,1,2026-06-10T21:03:24.000Z,2026-06-10T21:03:24.000Z,67,67
HCP1135,4,4,0,0,3,1,0,37.75,56.0,2,2026-07-02T06:28:40.000Z,2026-06-07T16:03:07.000Z,70,45
HCP1142,6,3,2,1,6,0,0,34.0,54.0,3,2026-06-30T00:31:45.000Z,2026-06-30T00:31:45.000Z,47,47
HCP1155,3,2,1,0,3,0,0,36.33,60.0,2,2026-08-11T10:30:01.000Z,2026-08-11T10:30:01.000Z,5,5
HCP1161,4,2,1,1,3,1,0,27.5,49.0,0,2026-04-08T08:48:24.000Z,2026-04-08T08:48:24.000Z,130,130
HCP1166,3,1,1,1,3,0,0,27.0,46.0,2,2026-07-27T15:54:40.000Z,2026-07-27T15:54:40.000Z,20,20
HCP1187,7,6,1,0,6,1,0,44.57,57.0,3,2026-07-23T22:16:16.000Z,2026-07-23T22:16:16.000Z,24,24
HCP1190,5,4,1,0,5,0,0,36.4,60.0,3,2026-08-07T11:06:48.000Z,2026-08-07T11:06:48.000Z,9,9
HCP1207,9,2,6,1,8,0,1,20.78,59.0,6,2026-06-07T17:02:17.000Z,2026-06-07T17:02:17.000Z,70,70
HCP1230,9,2,3,4,8,0,1,23.44,39.0,2,2026-07-29T03:24:46.000Z,2026-07-29T03:24:46.000Z,18,18
HCP1232,6,2,1,3,4,2,0,34.33,51.0,2,2026-08-01T23:14:45.000Z,2026-08-01T23:14:45.000Z,15,15
HCP1236,8,4,4,0,8,0,0,24.63,46.0,2,2026-07-10T09:12:45.000Z,2026-07-10T09:12:45.000Z,37,37
HCP1241,10,7,1,2,7,2,1,36.6,52.0,4,2026-08-09T07:17:52.000Z,2026-08-09T07:17:52.000Z,7,7
HCP1306,11,7,3,1,9,1,1,34.27,56.0,6,2026-06-27T20:57:52.000Z,2026-06-27T20:57:52.000Z,50,50
HCP1337,4,3,0,1,4,0,0,38.75,43.0,2,2026-07-20T13:00:56.000Z,2026-07-20T13:00:56.000Z,27,27
HCP1340,7,4,2,1,6,0,1,37.57,55.0,1,2026-07-15T04:24:45.000Z,2026-07-15T04:24:45.000Z,32,32
HCP1353,10,4,4,2,9,0,1,27.2,47.0,2,2026-08-12T19:45:12.000Z,2026-08-12T19:45:12.000Z,4,4
HCP1359,12,7,2,3,10,1,1,36.0,56.0,2,2026-07-09T05:09:57.000Z,2026-07-09T05:09:57.000Z,38,38
HCP1368,6,2,2,2,5,0,1,31.0,57.0,4,2026-08-07T12:56:24.000Z,2026-08-07T12:56:24.000Z,9,9
HCP1390,8,5,0,3,5,2,1,33.25,53.0,2,2026-08-07T02:04:45.000Z,2026-08-07T02:04:45.000Z,9,9
HCP1403,6,2,3,1,6,0,0,25.5,53.0,4,2026-07-10T14:32:57.000Z,2026-07-10T14:32:57.000Z,37,37
HCP1429,10,2,5,3,8,2,0,18.3,36.0,6,2026-08-05T14:39:19.000Z,2026-08-05T14:39:19.000Z,11,11
HCP1433,9,3,5,1,8,0,1,20.44,40.0,2,2026-08-04T22:48:12.000Z,2026-08-04T22:48:12.000Z,12,12
HCP1438,4,0,1,3,4,0,0,34.0,45.0,2,2026-06-08T08:37:50.000Z,2026-06-08T08:37:50.000Z,69,69
HCP1452,13,8,3,2,12,0,1,33.92,60.0,11,2026-08-12T05:19:28.000Z,2026-08-12T05:19:28.000Z,4,4
HCP1468,10,0,5,5,9,0,1,21.3,37.0,6,2026-08-14T11:31:26.000Z,2026-08-14T11:31:26.000Z,2,2
HCP1479,10,5,4,1,9,1,0,30.6,50.0,4,2026-08-02T04:52:33.000Z,2026-08-02T04:52:33.000Z,14,14
HCP1501,4,2,2,0,4,0,0,34.5,56.0,1,2026-07-05T21:33:12.000Z,2026-07-05T21:33:12.000Z,42,42
HCP1519,13,8,4,1,13,0,0,33.69,60.0,9,2026-07-27T18:26:30.000Z,2026-07-27T18:26:30.000Z,20,20
HCP1531,11,5,3,3,10,1,0,31.0,57.0,4,2026-08-02T16:51:58.000Z,2026-08-02T16:51:58.000Z,14,14
HCP1548,4,1,3,0,4,0,0,18.75,33.0,2,2026-06-29T14:55:18.000Z,2026-06-29T14:55:18.000Z,48,48
HCP1553,8,6,1,1,6,2,0,41.5,57.0,2,2026-07-19T05:03:48.000Z,2026-05-09T21:44:54.000Z,99,28
HCP1556,6,2,3,1,6,0,0,25.67,47.0,2,2026-08-12T10:54:06.000Z,2026-08-12T10:54:06.000Z,4,4
HCP1569,8,2,4,2,8,0,0,20.13,42.0,4,2026-07-28T16:26:34.000Z,2026-07-28T16:26:34.000Z,19,19
HCP1575,9,4,3,2,9,0,0,28.11,40.0,5,2026-07-07T02:34:57.000Z,2026-07-07T02:34:57.000Z,40,40
HCP1579,9,7,0,2,7,2,0,40.0,56.0,4,2026-08-10T06:01:53.000Z,2026-08-10T06:01:53.000Z,6,6
HCP1584,11,7,2,2,10,1,0,35.73,55.0,5,2026-08-08T20:22:26.000Z,2026-08-08T20:22:26.000Z,8,8
HCP1599,8,5,2,1,8,0,0,33.5,53.0,4,2026-06-10T23:56:56.000Z,2026-06-10T23:56:56.000Z,67,67
HCP1602,9,8,0,1,7,1,1,46.11,59.0,5,2026-08-02T21:08:24.000Z,2026-08-02T21:08:24.000Z,14,14
HCP1615,4,2,2,0,4,0,0,34.75,55.0,1,2026-05-02T18:21:17.000Z,2026-05-02T18:21:17.000Z,106,106
HCP1634,7,3,3,1,5,0,2,34.29,59.0,3,2026-05-31T08:08:53.000Z,2026-05-31T08:08:53.000Z,77,77
HCP1642,8,2,4,2,6,2,0,25.88,59.0,4,2026-08-10T20:13:32.000Z,2026-08-08T11:03:45.000Z,8,6
HCP1650,7,3,3,1,7,0,0,25.43,52.0,5,2026-08-10T10:27:03.000Z,2026-08-10T10:27:03.000Z,6,6
HCP1664,10,2,3,5,10,0,0,24.2,60.0,9,2026-08-09T02:44:31.000Z,2026-08-09T02:44:31.000Z,7,7
HCP1680,10,6,4,0,7,1,2,27.4,51.0,1,2026-08-05T16:12:19.000Z,2026-07-22T04:12:24.000Z,25,11
HCP1682,11,4,6,1,8,2,1,28.82,55.0,5,2026-08-04T19:28:14.000Z,2026-08-04T19:28:14.000Z,12,12
HCP1690,8,4,2,2,7,1,0,33.0,51.0,1,2026-07-17T12:09:12.000Z,2026-07-17T12:09:12.000Z,30,30
HCP1734,3,3,0,0,1,2,0,51.0,55.0,0,2026-06-17T16:07:01.000Z,2026-02-17T04:01:27.000Z,180,60
HCP1740,3,0,1,2,3,0,0,28.67,44.0,2,2026-07-18T15:35:42.000Z,2026-07-18T15:35:42.000Z,29,29
HCP1786,5,2,1,2,4,0,1,37.2,58.0,0,2026-04-12T21:59:19.000Z,2026-03-26T17:33:28.000Z,143,126
HCP1799,8,5,2,1,6,1,1,34.25,60.0,1,2026-04-25T01:57:58.000Z,2026-04-25T01:57:58.000Z,113,113
HCP1828,10,7,1,2,9,1,0,36.4,53.0,4,2026-07-01T19:38:04.000Z,2026-07-01T19:38:04.000Z,46,46
HCP1859,11,5,3,3,10,1,0,28.45,50.0,3,2026-08-13T22:26:17.000Z,2026-08-13T22:26:17.000Z,3,3
HCP1879,10,5,3,2,10,0,0,33.7,60.0,4,2026-07-19T12:21:27.000Z,2026-07-19T12:21:27.000Z,28,28
HCP1893,9,2,5,2,9,0,0,26.44,60.0,5,2026-05-22T20:40:07.000Z,2026-05-22T20:40:07.000Z,86,86
HCP1908,3,3,0,0,3,0,0,41.0,51.0,1,2026-07-12T13:06:47.000Z,2026-07-12T13:06:47.000Z,35,35
HCP1965,11,6,3,2,9,2,0,37.18,60.0,6,2026-08-02T09:55:13.000Z,2026-08-02T09:55:13.000Z,14,14
HCP1977,9,1,5,3,7,0,2,20.44,51.0,5,2026-07-07T03:04:13.000Z,2026-05-17T07:06:40.000Z,91,40
HCP1978,5,1,1,3,5,0,0,33.6,44.0,2,2026-08-06T02:56:45.000Z,2026-08-06T02:56:45.000Z,10,10
HCP1982,9,3,4,2,9,0,0,25.0,54.0,6,2026-07-18T13:44:41.000Z,2026-07-18T13:44:41.000Z,29,29
HCP0001,11,2,5,4,10,0,1,20.91,41.0,4,2026-08-13T02:20:04.000Z,2026-08-13T02:20:04.000Z,3,3
HCP0027,4,3,0,1,4,0,0,35.25,52.0,1,2026-07-30T05:55:42.000Z,2026-07-30T05:55:42.000Z,17,17
HCP0041,4,2,2,0,3,0,1,26.0,44.0,1,2026-08-12T09:24:25.000Z,2026-08-12T09:24:25.000Z,4,4
HCP0061,11,6,5,0,9,2,0,33.18,60.0,5,2026-08-02T04:48:30.000Z,2026-08-02T04:48:30.000Z,14,14
HCP0098,5,3,2,0,5,0,0,31.8,60.0,1,2026-06-28T19:21:51.000Z,2026-06-28T19:21:51.000Z,49,49
HCP0106,3,2,0,1,2,1,0,34.67,57.0,1,2026-07-22T22:06:17.000Z,2026-07-22T22:06:17.000Z,25,25
HCP0110,11,9,0,2,11,0,0,39.0,52.0,5,2026-08-10T08:11:26.000Z,2026-08-10T08:11:26.000Z,6,6
HCP0117,8,3,1,4,8,0,0,32.25,51.0,7,2026-08-05T04:34:35.000Z,2026-08-05T04:34:35.000Z,11,11
HCP0141,3,1,2,0,3,0,0,28.67,56.0,3,2026-06-04T12:47:21.000Z,2026-06-04T12:47:21.000Z,73,73
HCP0152,5,3,2,0,5,0,0,34.0,57.0,3,2026-05-26T14:41:25.000Z,2026-05-26T14:41:25.000Z,82,82
HCP0156,10,4,4,2,8,1,1,24.1,51.0,4,2026-07-16T23:49:12.000Z,2026-06-24T18:13:29.000Z,53,31
HCP0168,6,3,3,0,4,0,2,33.67,58.0,1,2026-06-16T22:31:08.000Z,2026-05-20T23:27:03.000Z,88,61
HCP0188,7,3,4,0,7,0,0,27.0,48.0,4,2026-05-30T02:24:50.000Z,2026-05-30T02:24:50.000Z,78,78
HCP0194,10,5,3,2,8,2,0,29.7,54.0,3,2026-07-15T06:08:28.000Z,2026-07-15T06:08:28.000Z,32,32
HCP0200,12,5,7,0,10,2,0,26.25,59.0,6,2026-06-19T11:01:10.000Z,2026-06-18T09:16:48.000Z,59,58
HCP0223,6,4,2,0,6,0,0,29.67,52.0,2,2026-07-22T10:02:12.000Z,2026-07-22T10:02:12.000Z,25,25
HCP0233,8,4,3,1,7,1,0,28.63,59.0,6,2026-07-24T19:33:58.000Z,2026-07-24T19:33:58.000Z,23,23
HCP0236,8,7,0,1,7,1,0,40.0,50.0,3,2026-08-02T14:15:45.000Z,2026-07-30T22:44:28.000Z,17,14
HCP0258,5,2,2,1,5,0,0,27.4,59.0,2,2026-08-14T15:44:12.000Z,2026-08-14T15:44:12.000Z,2,2
HCP0284,12,8,2,2,8,4,0,35.83,57.0,3,2026-07-25T21:22:38.000Z,2026-07-25T21:22:38.000Z,22,22
HCP0297,7,1,3,3,6,0,1,28.14,51.0,4,2026-06-19T00:28:32.000Z,2026-06-19T00:28:32.000Z,58,58
HCP0334,7,3,4,0,6,0,1,22.14,53.0,3,2026-07-11T12:18:05.000Z,2026-07-11T12:18:05.000Z,36,36
HCP0342,7,2,1,4,6,1,0,28.57,43.0,3,2026-06-18T12:45:13.000Z,2026-06-18T12:45:13.000Z,59,59
HCP0362,13,4,7,2,11,2,0,27.31,57.0,6,2026-06-30T19:22:44.000Z,2026-06-30T19:22:44.000Z,47,47
HCP0373,11,7,2,2,11,0,0,33.09,56.0,4,2026-08-03T06:50:08.000Z,2026-08-03T06:50:08.000Z,13,13
HCP0382,5,1,2,2,5,0,0,25.6,59.0,2,2026-06-14T19:04:13.000Z,2026-06-14T19:04:13.000Z,63,63
HCP0401,6,4,1,1,5,1,0,40.17,60.0,1,2026-06-26T18:53:25.000Z,2026-06-26T18:53:25.000Z,51,51
HCP0407,3,2,0,1,3,0,0,41.0,57.0,1,2026-08-13T21:43:03.000Z,2026-08-13T21:43:03.000Z,3,3
HCP0409,10,6,3,1,8,1,1,29.9,60.0,7,2026-08-12T15:51:38.000Z,2026-08-12T15:51:38.000Z,4,4
HCP0471,5,3,2,0,5,0,0,37.8,60.0,2,2026-07-14T19:19:06.000Z,2026-07-14T19:19:06.000Z,33,33
HCP0499,6,4,1,1,5,0,1,37.17,54.0,1,2026-06-03T17:23:03.000Z,2026-06-03T17:23:03.000Z,74,74
HCP0556,10,5,4,1,8,2,0,26.9,57.0,4,2026-06-28T11:54:16.000Z,2026-06-28T11:54:16.000Z,49,49
HCP0561,9,4,3,2,8,1,0,27.33,58.0,1,2026-08-11T09:22:56.000Z,2026-08-11T09:22:56.000Z,5,5
HCP0575,8,3,5,0,7,1,0,23.63,52.0,4,2026-07-13T05:54:27.000Z,2026-07-13T05:54:27.000Z,34,34
HCP0597,9,5,4,0,8,1,0,28.33,60.0,0,2026-08-04T14:27:41.000Z,2026-08-04T14:27:41.000Z,12,12
HCP0609,8,2,2,4,8,0,0,30.25,59.0,5,2026-07-27T15:22:16.000Z,2026-07-27T15:22:16.000Z,20,20
HCP0620,10,5,3,2,8,1,1,36.6,57.0,2,2026-08-08T08:21:15.000Z,2026-08-08T08:21:15.000Z,8,8
HCP0624,4,2,1,1,4,0,0,26.0,32.0,1,2026-06-04T01:19:03.000Z,2026-06-04T01:19:03.000Z,73,73
HCP0633,11,5,5,1,11,0,0,26.18,49.0,4,2026-08-06T03:34:50.000Z,2026-08-06T03:34:50.000Z,10,10
HCP0635,3,2,0,1,1,1,1,27.0,36.0,1,2026-04-17T02:39:52.000Z,2026-04-17T02:39:52.000Z,121,121
HCP0637,7,6,0,1,6,1,0,40.86,54.0,3,2026-08-01T12:45:17.000Z,2026-08-01T12:45:17.000Z,15,15
HCP0655,3,0,0,3,3,0,0,30.67,44.0,1,2026-07-08T04:38:43.000Z,2026-07-08T04:38:43.000Z,39,39
HCP0677,3,1,2,0,3,0,0,19.33,33.0,0,2026-07-15T15:27:05.000Z,2026-07-15T15:27:05.000Z,32,32
HCP0683,9,8,1,0,8,1,0,34.44,43.0,5,2026-07-10T11:51:19.000Z,2026-07-10T11:51:19.000Z,37,37
HCP0722,10,4,1,5,9,0,1,32.1,54.0,3,2026-07-21T15:41:45.000Z,2026-07-21T15:41:45.000Z,26,26
HCP0745,9,4,4,1,6,2,1,26.56,58.0,6,2026-07-24T12:10:48.000Z,2026-07-24T12:10:48.000Z,23,23
HCP0749,8,5,2,1,7,0,1,34.13,54.0,2,2026-08-14T16:23:48.000Z,2026-07-31T08:28:32.000Z,16,2
HCP0788,12,7,3,2,11,0,1,32.17,55.0,6,2026-08-11T19:28:13.000Z,2026-08-11T19:28:13.000Z,5,5
HCP0810,7,3,2,2,6,0,1,26.71,45.0,1,2026-07-21T04:23:02.000Z,2026-07-21T04:23:02.000Z,26,26
HCP0814,11,4,1,6,10,0,1,30.55,58.0,8,2026-07-29T08:31:49.000Z,2026-07-29T08:31:49.000Z,18,18
HCP0817,6,0,5,1,5,1,0,16.33,32.0,2,2026-06-15T17:58:10.000Z,2026-06-15T17:58:10.000Z,62,62
HCP0833,3,2,1,0,2,0,1,41.0,60.0,1,2026-08-03T09:07:23.000Z,2026-06-10T03:48:17.000Z,67,13
HCP0839,5,0,2,3,3,1,1,16.8,26.0,2,2026-08-10T19:18:56.000Z,2026-05-30T11:50:19.000Z,78,6
HCP0845,4,2,1,1,2,2,0,34.0,59.0,1,2026-06-13T00:07:03.000Z,2026-06-13T00:07:03.000Z,64,64
HCP0852,7,5,1,1,6,0,1,30.86,43.0,2,2026-07-14T10:41:16.000Z,2026-07-14T10:41:16.000Z,33,33
HCP0907,3,2,0,1,3,0,0,39.67,57.0,1,2026-07-07T06:33:12.000Z,2026-07-07T06:33:12.000Z,40,40
HCP0917,8,4,3,1,7,1,0,33.0,60.0,4,2026-07-24T13:32:59.000Z,2026-07-24T13:32:59.000Z,23,23
HCP0918,10,5,3,2,9,1,0,31.0,59.0,4,2026-08-12T20:00:30.000Z,2026-08-12T20:00:30.000Z,4,4
HCP0947,9,3,6,0,8,0,1,21.78,52.0,3,2026-08-14T05:00:51.000Z,2026-08-14T05:00:51.000Z,2,2
HCP0961,4,2,2,0,2,1,1,20.0,33.0,2,2026-03-23T14:44:22.000Z,2026-03-02T12:16:16.000Z,167,146
HCP0980,10,5,2,3,10,0,0,28.4,54.0,5,2026-08-04T11:47:51.000Z,2026-08-04T11:47:51.000Z,12,12
HCP0982,8,3,2,3,8,0,0,32.0,60.0,3,2026-07-20T22:03:21.000Z,2026-07-20T22:03:21.000Z,27,27
HCP0995,5,4,1,0,5,0,0,39.8,57.0,3,2026-05-31T21:33:06.000Z,2026-05-31T21:33:06.000Z,77,77
HCP1029,6,4,0,2,6,0,0,39.67,60.0,1,2026-08-14T07:46:32.000Z,2026-08-14T07:46:32.000Z,2,2
HCP1033,6,3,2,1,5,0,1,30.5,56.0,3,2026-07-31T09:08:29.000Z,2026-07-31T09:08:29.000Z,16,16
HCP1042,11,6,2,3,9,2,0,33.36,51.0,4,2026-08-04T10:52:48.000Z,2026-08-04T10:52:48.000Z,12,12
HCP1043,3,2,1,0,3,0,0,35.33,52.0,1,2026-06-18T08:50:05.000Z,2026-06-18T08:50:05.000Z,59,59
HCP1072,5,2,2,1,3,1,1,27.0,37.0,1,2026-07-06T10:37:39.000Z,2026-07-06T10:37:39.000Z,41,41
HCP1090,11,6,2,3,10,0,1,35.27,50.0,3,2026-08-07T10:53:35.000Z,2026-08-07T10:53:35.000Z,9,9
