veeva_event_id,hcp_id,interaction_id,campaign_id,drug_id,interaction_type,interaction_timestamp,interaction_duration_minutes,interaction_status,interaction_purpose,discussion_topic,follow_up_required,follow_up_date,rep_id,territory,channel,source_system
VEEEVT00012749,HCP1816,INT0012749,CAMP0007,DRUG003,In-Person Visit,2026-01-01 23:54:38,43,Completed,Follow-up Discussion,Dosage,True,2026-01-14 23:54:38,REP018,South,Representative,Veeva_CRM
VEEEVT00007033,HCP1002,INT0007033,CAMP0013,DRUG005,In-Person Visit,2026-01-02 00:30:59,37,Completed,Disease Education,Efficacy,True,2026-01-07 00:30:59,REP016,North,Representative,Veeva_CRM
VEEEVT00003292,HCP0476,INT0003292,CAMP0019,DRUG007,In-Person Visit,2026-01-02 00:45:10,34,Completed,Product Discussion,Patient Population,True,2026-01-13 00:45:10,REP018,North,Representative,Veeva_CRM
VEEEVT00009724,HCP1386,INT0009724,CAMP0006,DRUG002,In-Person Visit,2026-01-02 00:53:37,37,Completed,Product Discussion,Safety,False,,REP001,East,Representative,Veeva_CRM
VEEEVT00008791,HCP1252,INT0008791,CAMP0015,DRUG005,Virtual Meeting,2026-01-02 01:00:13,30,Completed,New Product Introduction,Dosage,False,,REP003,North,Representative,Veeva_CRM
VEEEVT00009663,HCP1380,INT0009663,CAMP0015,DRUG005,In-Person Visit,2026-01-02 01:06:35,52,Completed,Product Discussion,Clinical Evidence,True,2026-01-08 01:06:35,REP023,North,Representative,Veeva_CRM
VEEEVT00007834,HCP1115,INT0007834,CAMP0024,DRUG008,Phone Call,2026-01-02 03:02:23,10,No Show,Disease Education,Clinical Evidence,False,,REP012,West,Representative,Veeva_CRM
VEEEVT00011313,HCP1611,INT0011313,CAMP0007,DRUG003,In-Person Visit,2026-01-02 03:05:49,56,Completed,Disease Education,Treatment Guidelines,True,2026-01-16 03:05:49,REP023,East,Representative,Veeva_CRM
VEEEVT00010034,HCP1432,INT0010034,CAMP0011,DRUG004,In-Person Visit,2026-01-02 03:16:40,57,Completed,New Product Introduction,Safety,True,2026-01-04 03:16:40,REP011,North,Representative,Veeva_CRM
VEEEVT00004707,HCP0671,INT0004707,CAMP0018,DRUG006,Virtual Meeting,2026-01-02 03:34:07,34,Completed,Disease Education,Efficacy,True,2026-01-08 03:34:07,REP017,North,Representative,Veeva_CRM
VEEEVT00002601,HCP0372,INT0002601,CAMP0022,DRUG008,Virtual Meeting,2026-01-02 03:52:17,19,Completed,New Product Introduction,Efficacy,False,,REP019,West,Representative,Veeva_CRM
VEEEVT00004184,HCP0600,INT0004184,CAMP0021,DRUG007,Virtual Meeting,2026-01-02 03:53:05,15,Completed,Follow-up Discussion,Efficacy,True,2026-01-13 03:53:05,REP026,East,Representative,Veeva_CRM
VEEEVT00001886,HCP0274,INT0001886,CAMP0020,DRUG007,Phone Call,2026-01-02 04:22:44,7,Completed,Product Discussion,Clinical Evidence,False,,REP007,East,Representative,Veeva_CRM
VEEEVT00013313,HCP1893,INT0013313,CAMP0014,DRUG005,In-Person Visit,2026-01-02 04:40:36,60,Completed,Treatment Update,Efficacy,True,2026-01-15 04:40:36,REP004,North,Representative,Veeva_CRM
VEEEVT00006523,HCP0931,INT0006523,CAMP0015,DRUG005,Phone Call,2026-01-02 04:57:05,5,Completed,Product Discussion,Efficacy,True,2026-01-05 04:57:05,REP027,East,Representative,Veeva_CRM
VEEEVT00004670,HCP0666,INT0004670,CAMP0006,DRUG002,In-Person Visit,2026-01-02 05:12:03,38,No Show,New Product Introduction,Efficacy,False,,REP012,East,Representative,Veeva_CRM
VEEEVT00008222,HCP1173,INT0008222,CAMP0018,DRUG006,In-Person Visit,2026-01-02 05:27:04,35,Completed,Disease Education,Treatment Guidelines,True,2026-01-06 05:27:04,REP015,North,Representative,Veeva_CRM
VEEEVT00005101,HCP0731,INT0005101,CAMP0003,DRUG001,Phone Call,2026-01-02 06:34:38,9,Completed,Disease Education,Product Information,True,2026-01-04 06:34:38,REP020,North,Representative,Veeva_CRM
VEEEVT00000575,HCP0086,INT0000575,CAMP0002,DRUG001,In-Person Visit,2026-01-02 07:07:06,35,Completed,Disease Education,Product Information,False,,REP019,South,Representative,Veeva_CRM
VEEEVT00004357,HCP0622,INT0004357,CAMP0002,DRUG001,Phone Call,2026-01-02 07:09:00,5,Completed,Follow-up Discussion,Patient Population,False,,REP010,East,Representative,Veeva_CRM
VEEEVT00008754,HCP1246,INT0008754,CAMP0020,DRUG007,Phone Call,2026-01-02 07:24:48,19,No Show,New Product Introduction,Dosage,False,,REP023,East,Representative,Veeva_CRM
VEEEVT00005825,HCP0832,INT0005825,CAMP0004,DRUG002,In-Person Visit,2026-01-02 07:35:56,32,Completed,Follow-up Discussion,Dosage,True,2026-01-05 07:35:56,REP010,West,Representative,Veeva_CRM
VEEEVT00001123,HCP0165,INT0001123,CAMP0019,DRUG007,Virtual Meeting,2026-01-02 07:48:06,36,Completed,Treatment Update,Safety,False,,REP027,West,Representative,Veeva_CRM
VEEEVT00013009,HCP1850,INT0013009,CAMP0010,DRUG004,Virtual Meeting,2026-01-02 08:22:21,20,Completed,Disease Education,Dosage,False,,REP016,West,Representative,Veeva_CRM
VEEEVT00006744,HCP0963,INT0006744,CAMP0017,DRUG006,In-Person Visit,2026-01-02 08:27:32,46,Completed,Follow-up Discussion,Treatment Guidelines,True,2026-01-06 08:27:32,REP025,North,Representative,Veeva_CRM
VEEEVT00002398,HCP0346,INT0002398,CAMP0009,DRUG003,In-Person Visit,2026-01-02 09:19:31,55,Completed,Product Discussion,Safety,True,2026-01-09 09:19:31,REP016,West,Representative,Veeva_CRM
VEEEVT00013083,HCP1862,INT0013083,CAMP0007,DRUG003,In-Person Visit,2026-01-02 09:37:20,40,Completed,Disease Education,Product Information,True,2026-01-13 09:37:20,REP017,East,Representative,Veeva_CRM
VEEEVT00008792,HCP1253,INT0008792,CAMP0019,DRUG007,Virtual Meeting,2026-01-02 09:40:35,23,Completed,Clinical Evidence,Dosage,False,,REP030,West,Representative,Veeva_CRM
VEEEVT00000395,HCP0059,INT0000395,CAMP0009,DRUG003,In-Person Visit,2026-01-02 09:51:23,33,Completed,Treatment Update,Treatment Guidelines,True,2026-01-11 09:51:23,REP026,West,Representative,Veeva_CRM
VEEEVT00009795,HCP1396,INT0009795,CAMP0014,DRUG005,Virtual Meeting,2026-01-02 10:08:27,29,Completed,Treatment Update,Clinical Evidence,False,,REP012,West,Representative,Veeva_CRM
VEEEVT00007652,HCP1091,INT0007652,CAMP0002,DRUG001,Phone Call,2026-01-02 10:27:44,11,Completed,Product Discussion,Dosage,False,,REP028,West,Representative,Veeva_CRM
VEEEVT00002360,HCP0341,INT0002360,CAMP0008,DRUG003,In-Person Visit,2026-01-02 10:34:19,49,Completed,Follow-up Discussion,Treatment Guidelines,False,,REP025,South,Representative,Veeva_CRM
VEEEVT00011911,HCP1692,INT0011911,CAMP0006,DRUG002,Phone Call,2026-01-02 10:42:56,5,Completed,Disease Education,Dosage,False,,REP006,East,Representative,Veeva_CRM
VEEEVT00004455,HCP0637,INT0004455,CAMP0001,DRUG001,In-Person Visit,2026-01-02 10:43:37,28,Cancelled,Follow-up Discussion,Product Information,False,,REP009,West,Representative,Veeva_CRM
VEEEVT00012060,HCP1715,INT0012060,CAMP0008,DRUG003,Phone Call,2026-01-02 10:47:48,5,Completed,Product Discussion,Efficacy,True,2026-01-14 10:47:48,REP005,North,Representative,Veeva_CRM
VEEEVT00008062,HCP1151,INT0008062,CAMP0003,DRUG001,Phone Call,2026-01-02 10:53:05,6,Completed,Disease Education,Clinical Evidence,True,2026-01-15 10:53:05,REP001,West,Representative,Veeva_CRM
VEEEVT00002541,HCP0364,INT0002541,CAMP0002,DRUG001,Virtual Meeting,2026-01-02 11:20:16,15,Cancelled,Disease Education,Dosage,False,,REP017,South,Representative,Veeva_CRM
VEEEVT00000272,HCP0040,INT0000272,CAMP0008,DRUG003,Phone Call,2026-01-02 11:45:06,19,Completed,Clinical Evidence,Efficacy,True,2026-01-15 11:45:06,REP028,South,Representative,Veeva_CRM
VEEEVT00004583,HCP0656,INT0004583,CAMP0017,DRUG006,In-Person Visit,2026-01-02 11:57:06,44,Completed,Follow-up Discussion,Safety,False,,REP030,South,Representative,Veeva_CRM
VEEEVT00012491,HCP1779,INT0012491,CAMP0011,DRUG004,Phone Call,2026-01-02 12:35:13,11,Completed,Follow-up Discussion,Dosage,False,,REP009,North,Representative,Veeva_CRM
VEEEVT00001296,HCP0189,INT0001296,CAMP0001,DRUG001,In-Person Visit,2026-01-02 12:47:39,40,Completed,New Product Introduction,Treatment Guidelines,False,,REP012,South,Representative,Veeva_CRM
VEEEVT00008485,HCP1210,INT0008485,CAMP0020,DRUG007,Phone Call,2026-01-02 13:45:09,15,No Show,Follow-up Discussion,Safety,False,,REP002,East,Representative,Veeva_CRM
VEEEVT00004527,HCP0647,INT0004527,CAMP0021,DRUG007,In-Person Visit,2026-01-02 13:50:01,49,Completed,Clinical Evidence,Safety,False,,REP001,North,Representative,Veeva_CRM
VEEEVT00013762,HCP1957,INT0013762,CAMP0003,DRUG001,Phone Call,2026-01-02 14:39:19,7,Completed,Treatment Update,Treatment Guidelines,False,,REP015,South,Representative,Veeva_CRM
VEEEVT00001866,HCP0272,INT0001866,CAMP0011,DRUG004,In-Person Visit,2026-01-02 14:46:32,32,Cancelled,Treatment Update,Efficacy,False,,REP003,South,Representative,Veeva_CRM
VEEEVT00004881,HCP0699,INT0004881,CAMP0022,DRUG008,Phone Call,2026-01-02 15:07:49,16,Completed,Follow-up Discussion,Dosage,True,2026-01-11 15:07:49,REP012,West,Representative,Veeva_CRM
VEEEVT00001643,HCP0237,INT0001643,CAMP0007,DRUG003,Virtual Meeting,2026-01-02 15:27:18,39,Completed,Follow-up Discussion,Clinical Evidence,True,2026-01-12 15:27:18,REP008,West,Representative,Veeva_CRM
VEEEVT00012074,HCP1717,INT0012074,CAMP0011,DRUG004,Phone Call,2026-01-02 15:32:36,12,Completed,Follow-up Discussion,Efficacy,False,,REP017,South,Representative,Veeva_CRM
VEEEVT00011479,HCP1633,INT0011479,CAMP0019,DRUG007,Phone Call,2026-01-02 16:00:36,19,Completed,Clinical Evidence,Dosage,False,,REP026,West,Representative,Veeva_CRM
VEEEVT00012065,HCP1716,INT0012065,CAMP0022,DRUG008,Phone Call,2026-01-02 17:06:28,14,Completed,Product Discussion,Product Information,True,2026-01-16 17:06:28,REP003,East,Representative,Veeva_CRM
VEEEVT00013952,HCP1982,INT0013952,CAMP0004,DRUG002,Phone Call,2026-01-02 17:10:08,13,Completed,New Product Introduction,Dosage,True,2026-01-08 17:10:08,REP008,West,Representative,Veeva_CRM
VEEEVT00007265,HCP1037,INT0007265,CAMP0023,DRUG008,Virtual Meeting,2026-01-02 17:40:57,26,Completed,Follow-up Discussion,Clinical Evidence,True,2026-01-07 17:40:57,REP015,East,Representative,Veeva_CRM
VEEEVT00011060,HCP1576,INT0011060,CAMP0011,DRUG004,Phone Call,2026-01-02 17:43:48,8,Completed,Product Discussion,Treatment Guidelines,True,2026-01-13 17:43:48,REP028,West,Representative,Veeva_CRM
